Date,Sunrise,Sunset,Daylength
2016-01-01,07:20,16:39,09:19
2016-01-02,07:20,16:40,09:20
2016-01-03,07:20,16:40,09:20
2016-01-04,07:20,16:41,09:21
2016-01-05,07:20,16:42,09:22
2016-01-06,07:20,16:43,09:23
2016-01-07,07:20,16:44,09:24
2016-01-08,07:20,16:45,09:25
2016-01-09,07:20,16:46,09:26
2016-01-10,07:20,16:47,09:28
2016-01-11,07:19,16:48,09:29
2016-01-12,07:19,16:49,09:30
2016-01-13,07:19,16:50,09:32
2016-01-14,07:18,16:51,09:33
2016-01-15,07:18,16:53,09:35
2016-01-16,07:18,16:54,09:36
2016-01-17,07:17,16:55,09:38
2016-01-18,07:17,16:56,09:39
2016-01-19,07:16,16:57,09:41
2016-01-20,07:16,16:58,09:43
2016-01-21,07:15,16:59,09:45
2016-01-22,07:14,17:01,09:46
2016-01-23,07:14,17:02,09:48
2016-01-24,07:13,17:03,09:50
2016-01-25,07:12,17:04,09:52
2016-01-26,07:11,17:05,09:54
2016-01-27,07:11,17:07,09:56
2016-01-28,07:10,17:08,09:58
2016-01-29,07:09,17:09,10:00
2016-01-30,07:08,17:10,10:02
2016-01-31,07:07,17:12,10:04
2016-02-01,07:06,17:13,10:07
2016-02-02,07:05,17:14,10:09
2016-02-03,07:04,17:15,10:11
2016-02-04,07:03,17:17,10:13
2016-02-05,07:02,17:18,10:16
2016-02-06,07:01,17:19,10:18
2016-02-07,07:00,17:20,10:20
2016-02-08,06:59,17:21,10:23
2016-02-09,06:58,17:23,10:25
2016-02-10,06:56,17:24,10:27
2016-02-11,06:55,17:25,10:30
2016-02-12,06:54,17:26,10:32
2016-02-13,06:53,17:28,10:35
2016-02-14,06:51,17:29,10:37
2016-02-15,06:50,17:30,10:40
2016-02-16,06:49,17:31,10:42
2016-02-17,06:48,17:32,10:45
2016-02-18,06:46,17:34,10:47
2016-02-19,06:45,17:35,10:50
2016-02-20,06:43,17:36,10:53
2016-02-21,06:42,17:37,10:55
2016-02-22,06:41,17:38,10:58
2016-02-23,06:39,17:40,11:00
2016-02-24,06:38,17:41,11:03
2016-02-25,06:36,17:42,11:06
2016-02-26,06:35,17:43,11:08
2016-02-27,06:33,17:44,11:11
2016-02-28,06:32,17:45,11:14
2016-02-29,06:30,17:46,11:16
2016-03-01,06:29,17:48,11:19
2016-03-02,06:27,17:49,11:22
2016-03-03,06:26,17:50,11:24
2016-03-04,06:24,17:51,11:27
2016-03-05,06:22,17:52,11:30
2016-03-06,06:21,17:53,11:32
2016-03-07,06:19,17:54,11:35
2016-03-08,06:18,17:55,11:38
2016-03-09,06:16,17:57,11:40
2016-03-10,06:14,17:58,11:43
2016-03-11,06:13,17:59,11:46
2016-03-12,06:11,18:00,11:49
2016-03-13,07:10,19:01,11:51
2016-03-14,07:08,19:02,11:54
2016-03-15,07:06,19:03,11:57
2016-03-16,07:05,19:04,11:59
2016-03-17,07:03,19:05,12:02
2016-03-18,07:01,19:06,12:05
2016-03-19,07:00,19:07,12:08
2016-03-20,06:58,19:08,12:10
2016-03-21,06:56,19:10,12:13
2016-03-22,06:55,19:11,12:16
2016-03-23,06:53,19:12,12:19
2016-03-24,06:51,19:13,12:21
2016-03-25,06:50,19:14,12:24
2016-03-26,06:48,19:15,12:27
2016-03-27,06:46,19:16,12:29
2016-03-28,06:45,19:17,12:32
2016-03-29,06:43,19:18,12:35
2016-03-30,06:41,19:19,12:38
2016-03-31,06:40,19:20,12:40
2016-04-01,06:38,19:21,12:43
2016-04-02,06:37,19:22,12:46
2016-04-03,06:35,19:23,12:48
2016-04-04,06:33,19:24,12:51
2016-04-05,06:32,19:25,12:54
2016-04-06,06:30,19:26,12:56
2016-04-07,06:28,19:27,12:59
2016-04-08,06:27,19:28,13:02
2016-04-09,06:25,19:29,13:04
2016-04-10,06:24,19:31,13:07
2016-04-11,06:22,19:32,13:09
2016-04-12,06:21,19:33,13:12
2016-04-13,06:19,19:34,13:15
2016-04-14,06:17,19:35,13:17
2016-04-15,06:16,19:36,13:20
2016-04-16,06:14,19:37,13:22
2016-04-17,06:13,19:38,13:25
2016-04-18,06:11,19:39,13:27
2016-04-19,06:10,19:40,13:30
2016-04-20,06:08,19:41,13:33
2016-04-21,06:07,19:42,13:35
2016-04-22,06:06,19:43,13:38
2016-04-23,06:04,19:44,13:40
2016-04-24,06:03,19:45,13:42
2016-04-25,06:01,19:46,13:45
2016-04-26,06:00,19:47,13:47
2016-04-27,05:59,19:48,13:50
2016-04-28,05:57,19:49,13:52
2016-04-29,05:56,19:50,13:54
2016-04-30,05:55,19:51,13:57
2016-05-01,05:53,19:53,13:59
2016-05-02,05:52,19:54,14:01
2016-05-03,05:51,19:55,14:04
2016-05-04,05:50,19:56,14:06
2016-05-05,05:49,19:57,14:08
2016-05-06,05:47,19:58,14:10
2016-05-07,05:46,19:59,14:12
2016-05-08,05:45,20:00,14:15
2016-05-09,05:44,20:01,14:17
2016-05-10,05:43,20:02,14:19
2016-05-11,05:42,20:03,14:21
2016-05-12,05:41,20:04,14:23
2016-05-13,05:40,20:05,14:25
2016-05-14,05:39,20:06,14:27
2016-05-15,05:38,20:07,14:29
2016-05-16,05:37,20:08,14:31
2016-05-17,05:36,20:09,14:32
2016-05-18,05:35,20:10,14:34
2016-05-19,05:34,20:10,14:36
2016-05-20,05:34,20:11,14:38
2016-05-21,05:33,20:12,14:39
2016-05-22,05:32,20:13,14:41
2016-05-23,05:31,20:14,14:43
2016-05-24,05:31,20:15,14:44
2016-05-25,05:30,20:16,14:46
2016-05-26,05:30,20:17,14:47
2016-05-27,05:29,20:17,14:49
2016-05-28,05:28,20:18,14:50
2016-05-29,05:28,20:19,14:51
2016-05-30,05:27,20:20,14:52
2016-05-31,05:27,20:21,14:54
2016-06-01,05:26,20:21,14:55
2016-06-02,05:26,20:22,14:56
2016-06-03,05:26,20:23,14:57
2016-06-04,05:25,20:23,14:58
2016-06-05,05:25,20:24,14:59
2016-06-06,05:25,20:25,15:00
2016-06-07,05:25,20:25,15:01
2016-06-08,05:24,20:26,15:01
2016-06-09,05:24,20:26,15:02
2016-06-10,05:24,20:27,15:03
2016-06-11,05:24,20:27,15:03
2016-06-12,05:24,20:28,15:04
2016-06-13,05:24,20:28,15:04
2016-06-14,05:24,20:29,15:05
2016-06-15,05:24,20:29,15:05
2016-06-16,05:24,20:30,15:05
2016-06-17,05:24,20:30,15:06
2016-06-18,05:24,20:30,15:06
2016-06-19,05:24,20:30,15:06
2016-06-20,05:25,20:31,15:06
2016-06-21,05:25,20:31,15:06
2016-06-22,05:25,20:31,15:06
2016-06-23,05:25,20:31,15:06
2016-06-24,05:26,20:31,15:06
2016-06-25,05:26,20:31,15:05
2016-06-26,05:26,20:31,15:05
2016-06-27,05:27,20:31,15:05
2016-06-28,05:27,20:31,15:04
2016-06-29,05:28,20:31,15:04
2016-06-30,05:28,20:31,15:03
2016-07-01,05:29,20:31,15:02
2016-07-02,05:29,20:31,15:02
2016-07-03,05:30,20:31,15:01
2016-07-04,05:30,20:31,15:00
2016-07-05,05:31,20:30,14:59
2016-07-06,05:32,20:30,14:58
2016-07-07,05:32,20:30,14:57
2016-07-08,05:33,20:29,14:56
2016-07-09,05:34,20:29,14:55
2016-07-10,05:34,20:29,14:54
2016-07-11,05:35,20:28,14:53
2016-07-12,05:36,20:28,14:52
2016-07-13,05:37,20:27,14:51
2016-07-14,05:37,20:27,14:49
2016-07-15,05:38,20:26,14:48
2016-07-16,05:39,20:25,14:46
2016-07-17,05:40,20:25,14:45
2016-07-18,05:41,20:24,14:43
2016-07-19,05:41,20:23,14:42
2016-07-20,05:42,20:23,14:40
2016-07-21,05:43,20:22,14:39
2016-07-22,05:44,20:21,14:37
2016-07-23,05:45,20:20,14:35
2016-07-24,05:46,20:19,14:33
2016-07-25,05:47,20:18,14:32
2016-07-26,05:48,20:17,14:30
2016-07-27,05:49,20:16,14:28
2016-07-28,05:49,20:15,14:26
2016-07-29,05:50,20:14,14:24
2016-07-30,05:51,20:13,14:22
2016-07-31,05:52,20:12,14:20
2016-08-01,05:53,20:11,14:18
2016-08-02,05:54,20:10,14:16
2016-08-03,05:55,20:09,14:14
2016-08-04,05:56,20:08,14:12
2016-08-05,05:57,20:07,14:10
2016-08-06,05:58,20:06,14:07
2016-08-07,05:59,20:04,14:05
2016-08-08,06:00,20:03,14:03
2016-08-09,06:01,20:02,14:01
2016-08-10,06:02,20:00,13:59
2016-08-11,06:03,19:59,13:56
2016-08-12,06:04,19:58,13:54
2016-08-13,06:05,19:56,13:52
2016-08-14,06:06,19:55,13:49
2016-08-15,06:07,19:54,13:47
2016-08-16,06:08,19:52,13:44
2016-08-17,06:09,19:51,13:42
2016-08-18,06:10,19:49,13:40
2016-08-19,06:11,19:48,13:37
2016-08-20,06:12,19:47,13:35
2016-08-21,06:13,19:45,13:32
2016-08-22,06:14,19:44,13:30
2016-08-23,06:15,19:42,13:27
2016-08-24,06:16,19:41,13:25
2016-08-25,06:17,19:39,13:22
2016-08-26,06:18,19:37,13:20
2016-08-27,06:19,19:36,13:17
2016-08-28,06:20,19:34,13:15
2016-08-29,06:21,19:33,13:12
2016-08-30,06:22,19:31,13:09
2016-08-31,06:23,19:30,13:07
2016-09-01,06:24,19:28,13:04
2016-09-02,06:25,19:26,13:02
2016-09-03,06:26,19:25,12:59
2016-09-04,06:27,19:23,12:56
2016-09-05,06:27,19:21,12:54
2016-09-06,06:28,19:20,12:51
2016-09-07,06:29,19:18,12:49
2016-09-08,06:30,19:16,12:46
2016-09-09,06:31,19:15,12:43
2016-09-10,06:32,19:13,12:41
2016-09-11,06:33,19:11,12:38
2016-09-12,06:34,19:10,12:35
2016-09-13,06:35,19:08,12:33
2016-09-14,06:36,19:06,12:30
2016-09-15,06:37,19:05,12:27
2016-09-16,06:38,19:03,12:25
2016-09-17,06:39,19:01,12:22
2016-09-18,06:40,19:00,12:19
2016-09-19,06:41,18:58,12:17
2016-09-20,06:42,18:56,12:14
2016-09-21,06:43,18:54,12:11
2016-09-22,06:44,18:53,12:09
2016-09-23,06:45,18:51,12:06
2016-09-24,06:46,18:49,12:03
2016-09-25,06:47,18:48,12:01
2016-09-26,06:48,18:46,11:58
2016-09-27,06:49,18:44,11:55
2016-09-28,06:50,18:43,11:53
2016-09-29,06:51,18:41,11:50
2016-09-30,06:52,18:39,11:47
2016-10-01,06:53,18:38,11:44
2016-10-02,06:54,18:36,11:42
2016-10-03,06:55,18:34,11:39
2016-10-04,06:56,18:33,11:36
2016-10-05,06:57,18:31,11:34
2016-10-06,06:58,18:29,11:31
2016-10-07,06:59,18:28,11:28
2016-10-08,07:00,18:26,11:26
2016-10-09,07:01,18:25,11:23
2016-10-10,07:03,18:23,11:21
2016-10-11,07:04,18:21,11:18
2016-10-12,07:05,18:20,11:15
2016-10-13,07:06,18:18,11:13
2016-10-14,07:07,18:17,11:10
2016-10-15,07:08,18:15,11:07
2016-10-16,07:09,18:14,11:05
2016-10-17,07:10,18:12,11:02
2016-10-18,07:11,18:11,11:00
2016-10-19,07:12,18:09,10:57
2016-10-20,07:13,18:08,10:54
2016-10-21,07:15,18:06,10:52
2016-10-22,07:16,18:05,10:49
2016-10-23,07:17,18:04,10:47
2016-10-24,07:18,18:02,10:44
2016-10-25,07:19,18:01,10:42
2016-10-26,07:20,18:00,10:39
2016-10-27,07:21,17:58,10:37
2016-10-28,07:22,17:57,10:34
2016-10-29,07:24,17:56,10:32
2016-10-30,07:25,17:54,10:30
2016-10-31,07:26,17:53,10:27
2016-11-01,07:27,17:52,10:25
2016-11-02,07:28,17:51,10:22
2016-11-03,07:29,17:50,10:20
2016-11-04,07:31,17:48,10:18
2016-11-05,07:32,17:47,10:16
2016-11-06,06:33,16:46,10:13
2016-11-07,06:34,16:45,10:11
2016-11-08,06:35,16:44,10:09
2016-11-09,06:37,16:43,10:07
2016-11-10,06:38,16:42,10:04
2016-11-11,06:39,16:41,10:02
2016-11-12,06:40,16:40,10:00
2016-11-13,06:41,16:39,09:58
2016-11-14,06:42,16:39,09:56
2016-11-15,06:44,16:38,09:54
2016-11-16,06:45,16:37,09:52
2016-11-17,06:46,16:36,09:50
2016-11-18,06:47,16:35,09:48
2016-11-19,06:48,16:35,09:46
2016-11-20,06:49,16:34,09:45
2016-11-21,06:51,16:33,09:43
2016-11-22,06:52,16:33,09:41
2016-11-23,06:53,16:32,09:40
2016-11-24,06:54,16:32,09:38
2016-11-25,06:55,16:31,09:36
2016-11-26,06:56,16:31,09:35
2016-11-27,06:57,16:30,09:33
2016-11-28,06:58,16:30,09:32
2016-11-29,06:59,16:30,09:30
2016-11-30,07:00,16:29,09:29
2016-12-01,07:01,16:29,09:28
2016-12-02,07:02,16:29,09:27
2016-12-03,07:03,16:29,09:25
2016-12-04,07:04,16:29,09:24
2016-12-05,07:05,16:28,09:23
2016-12-06,07:06,16:28,09:22
2016-12-07,07:07,16:28,09:21
2016-12-08,07:08,16:28,09:20
2016-12-09,07:09,16:28,09:20
2016-12-10,07:10,16:29,09:19
2016-12-11,07:10,16:29,09:18
2016-12-12,07:11,16:29,09:18
2016-12-13,07:12,16:29,09:17
2016-12-14,07:13,16:29,09:17
2016-12-15,07:13,16:29,09:16
2016-12-16,07:14,16:30,09:16
2016-12-17,07:15,16:30,09:16
2016-12-18,07:15,16:31,09:15
2016-12-19,07:16,16:31,09:15
2016-12-20,07:16,16:31,09:15
2016-12-21,07:17,16:32,09:15
2016-12-22,07:17,16:32,09:15
2016-12-23,07:18,16:33,09:15
2016-12-24,07:18,16:34,09:15
2016-12-25,07:19,16:34,09:16
2016-12-26,07:19,16:35,09:16
2016-12-27,07:19,16:36,09:16
2016-12-28,07:19,16:36,09:17
2016-12-29,07:20,16:37,09:17
2016-12-30,07:20,16:38,09:18
2016-12-31,07:20,16:39,09:19
